t,changed_patches,total_patches,stable_ratio,baseline_ms,simulated_ms,threshold,keep_ratio,model
1,39,196,0.80102,439.79,87.509,0.008405,0.2,vit_base_patch16_224
2,39,196,0.80102,445.498,88.645,0.008252,0.2,vit_base_patch16_224
3,39,196,0.80102,437.727,87.099,0.005984,0.2,vit_base_patch16_224
4,39,196,0.80102,447.628,89.069,0.00625,0.2,vit_base_patch16_224
5,39,196,0.80102,436.274,86.81,0.006587,0.2,vit_base_patch16_224
6,39,196,0.80102,465.516,92.628,0.007435,0.2,vit_base_patch16_224
7,39,196,0.80102,481.496,95.808,0.006699,0.2,vit_base_patch16_224
8,39,196,0.80102,451.295,89.798,0.005882,0.2,vit_base_patch16_224
9,39,196,0.80102,442.956,88.139,0.007465,0.2,vit_base_patch16_224
10,39,196,0.80102,443.897,88.326,0.006607,0.2,vit_base_patch16_224
11,39,196,0.80102,445.086,88.563,0.008047,0.2,vit_base_patch16_224
12,39,196,0.80102,445.775,88.7,0.009416,0.2,vit_base_patch16_224
13,39,196,0.80102,434.941,86.544,0.008364,0.2,vit_base_patch16_224
14,39,196,0.80102,435.527,86.661,0.008824,0.2,vit_base_patch16_224
15,39,196,0.80102,446.078,88.76,0.009947,0.2,vit_base_patch16_224
16,39,196,0.80102,429.807,85.523,0.009212,0.2,vit_base_patch16_224
17,39,196,0.80102,428.553,85.273,0.010682,0.2,vit_base_patch16_224
18,39,196,0.80102,441.477,87.845,0.012204,0.2,vit_base_patch16_224
19,39,196,0.80102,436.952,86.945,0.009712,0.2,vit_base_patch16_224
20,39,196,0.80102,451.523,89.844,0.009978,0.2,vit_base_patch16_224
21,39,196,0.80102,431.962,85.952,0.012663,0.2,vit_base_patch16_224
22,39,196,0.80102,429.008,85.364,0.013164,0.2,vit_base_patch16_224
23,39,196,0.80102,436.421,86.839,0.010509,0.2,vit_base_patch16_224
24,39,196,0.80102,452.517,90.042,0.012888,0.2,vit_base_patch16_224
25,39,196,0.80102,439.495,87.45,0.013654,0.2,vit_base_patch16_224
26,39,196,0.80102,447.997,89.142,0.013634,0.2,vit_base_patch16_224
27,39,196,0.80102,440.765,87.703,0.011765,0.2,vit_base_patch16_224
28,39,196,0.80102,439.941,87.539,0.013491,0.2,vit_base_patch16_224
29,39,196,0.80102,435.326,86.621,0.012439,0.2,vit_base_patch16_224
30,39,196,0.80102,441.322,87.814,0.01442,0.2,vit_base_patch16_224
31,39,196,0.80102,445.881,88.721,0.011714,0.2,vit_base_patch16_224
32,39,196,0.80102,436.647,86.884,0.012316,0.2,vit_base_patch16_224
33,39,196,0.80102,439.233,87.398,0.013246,0.2,vit_base_patch16_224
34,39,196,0.80102,429.703,85.502,0.012316,0.2,vit_base_patch16_224
35,39,196,0.80102,447.684,89.08,0.01108,0.2,vit_base_patch16_224
36,39,196,0.80102,445.82,88.709,0.009753,0.2,vit_base_patch16_224
37,39,196,0.80102,445.986,88.742,0.010447,0.2,vit_base_patch16_224
38,39,196,0.80102,439.096,87.371,0.009712,0.2,vit_base_patch16_224
39,39,196,0.80102,438.978,87.348,0.010182,0.2,vit_base_patch16_224
40,39,196,0.80102,439.577,87.467,0.009324,0.2,vit_base_patch16_224
41,39,196,0.80102,442.45,88.039,0.007588,0.2,vit_base_patch16_224
42,39,196,0.80102,438.725,87.297,0.008364,0.2,vit_base_patch16_224
43,39,196,0.80102,441.642,87.878,0.007935,0.2,vit_base_patch16_224
44,39,196,0.80102,438.86,87.324,0.007945,0.2,vit_base_patch16_224
45,39,196,0.80102,443.188,88.185,0.007864,0.2,vit_base_patch16_224
46,39,196,0.80102,440.411,87.633,0.007006,0.2,vit_base_patch16_224
47,39,196,0.80102,437.966,87.146,0.006301,0.2,vit_base_patch16_224
48,39,196,0.80102,431.665,85.892,0.005831,0.2,vit_base_patch16_224
49,39,196,0.80102,429.52,85.466,0.006771,0.2,vit_base_patch16_224
50,39,196,0.80102,434.868,86.53,0.00673,0.2,vit_base_patch16_224
51,39,196,0.80102,472.04,93.926,0.007128,0.2,vit_base_patch16_224
52,39,196,0.80102,439.583,87.468,0.007261,0.2,vit_base_patch16_224
53,39,196,0.80102,441.734,87.896,0.007343,0.2,vit_base_patch16_224
54,39,196,0.80102,433.254,86.209,0.005831,0.2,vit_base_patch16_224
55,39,196,0.80102,432.203,85.999,0.005668,0.2,vit_base_patch16_224
56,39,196,0.80102,431.65,85.89,0.006904,0.2,vit_base_patch16_224
57,39,196,0.80102,434.42,86.441,0.008824,0.2,vit_base_patch16_224
58,39,196,0.80102,429.614,85.484,0.006321,0.2,vit_base_patch16_224
59,39,196,0.80102,441.697,87.889,0.007026,0.2,vit_base_patch16_224
